Banding Code	Common Name	Scientific Name	Vermont Subspecies	eBird Subspecies	eBird Subspecies Sci. Name	Total Subsp.	Subsp. in VT	Wash. Co. Records	VT Records	VT Media Records	Richard Needs	Wash needs	Vermont Needs	Global Needs	Field Diagnostics	Notes	eBird Species Page	BotW Systematics
LAWA	Lawrence's Warbler (hybrid)	Vermivora chrysoptera x cyanoptera (F2 backcross)	Monotypic	Lawrence's Warbler (hybrid)	Vermivora chrysoptera x cyanoptera (F2 backcross)			0	100+	20p	Species	Species	Audio					
BAWW	Black-and-white Warbler	Mniotilta varia	Monotypic	None														
TEWA	Tennessee Warbler	Leiothlypis peregrina	Monotypic	None														
OCWA	Orange-crowned Warbler	Leiothlypis celata	L.c.c.	Orange-crowned Warbler (celata)	L.c.c.	4	1	0	1	0	Species	Species media	SSp. media		Ventrum pale yellow, often blotchy on the female, and streaked lightly; dorsum gray-green; head contrasting gray in both sexes.		https://birdsoftheworld.org/bow/species/orcwar/cur/systematics	
NAWA	Nashville Warbler	Leiothlypis ruficapilla	L.r.r.	Nashville Warbler (ruficapilla)	L.r.r.	2	1	3	10	0	Ssp.	Media	Media		Mantle olive-green (accentuating contrast with gray head); rump dull greenish yellow (de-emphasizing contrast with the mantle); ventrum greenish yellow; bobbing of tail rare; call note a soft, somewhat leaden pink; and tail and tarsus short (Relyea 1936).	Ridgewayi seen once in NH. Look for it!		https://birdsoftheworld.org/bow/species/naswar/cur/systematics
CONW	Connecticut Warbler	Oporornis agilis	Monotypic	None				2	20		Species	Media	Audio					
MOWA	Mourning Warbler	Geothlypis philadelphia	Monotypic	None														
COYE	Common Yellowthroat	Geothlypis trichas	G. t. t.	Common Yellowthroat (trichas Group)	G. t. [t. Group]	13	1	0	2	None	Ssp.		Media		Frontal band pale ash gray, extensive; black mask moderately extensive; dorsum brownish olive; ventrum dull buff or buffy white, with upper breast lemon yellow, flanks brown, and undertail coverts pale yellow; feathers of nape whitish below the exposed tips; wing length moderate, with first primary equal in length to the sixth primary (Chapman 1890) and ninth longer than the fourth (Klicka 1994) and the wing longer than the tail.		https://birdsoftheworld.org/bow/species/comyel/cur/systematics	
AMRE	American Redstart	Setophaga ruticilla	S. r. ruticilla, S. r. tricolora	None		2	2								Dorsum of female and immature male paler gray, with the back brighter green.			
CMWA	Cape May Warbler	Setophaga tigrina	Monotypic	None														
CERW	Cerulean Warbler	Setophaga cerulea	Monotypic	None												Washington Needs?		
NOPA	Northern Parula	Setophaga americana	Monotypic	None														
MAWA	Magnolia Warbler	Setophaga magnolia	Monotypic	None														
BBWA	Bay-breasted Warbler	Setophaga castanea	Monotypic	None														
BLBW	Blackburnian Warbler	Setophaga fusca	Monotypic	None														
YEWA	Yellow Warbler	Setophaga petechia	S.p. aestiva/amnicola	Yellow Warbler (Northern)	S.p. [aestiva Group]	37 (4)	2	1	100+	11a,4a	Ssp.	Media			Includes 6 subspecies, which, compared to Golden and Mangrove warblers, wings relatively pointed (P9 > P6), crown generally lacks chestnut (if present, rather diffuse), and averaging smaller with smaller foot (tarsus usually not over 20 mm). Within group, northern populations smallest, upperparts darker green than southern populations. Southwest populations are paler yellow and much less green above. Eastern North American S. p. aestiva with most extensive chestnut streaking;			https://birdsoftheworld.org/bow/species/yelwar/cur/systematics
CSWA	Chestnut-sided Warbler	Setophaga pensylvanica	Monotypic	None														
BLPW	Blackpoll Warbler	Setophaga striata	Monotypic	None														
BTBW	Black-throated Blue Warbler	Setophaga caerulescens	S. c. caerulescens	None		2	1								Best identified in hand.			
PAWA	Palm Warbler	Setophaga palmarum	S. p. hypochesea	Palm Warbler (Yellow)	S. p. h.	2	2		100+	Sph 92p, spp 32p	Subspecies		Audio		Similar to S. p. palmarum, but ventrum wholly yellow, mantle, wing coverts, and auriculars olive-green, and flank streaks, particularly on the male in spring, broad and distinctly chestnut; averages slightly larger overall.			
PIWA	Pine Warbler	Setophaga pinus	S.p.p.	None											Throat and breast greenish yellow, flanks and sides of breast moderately streaked with dark olive, belly and vent white, dorsum olive-green, and wingbars white and bold;			https://birdsoftheworld.org/bow/species/pinwar/cur/systematics
YRWA	Yellow-rumped Warbler	Setophaga coronata	S.c.c.	Yellow-rumped Warbler (Myrtle)	S.c.c.	4	2	100+	100+, 2 Audubon's	1p. audubon	Myrtle Audio, Audubon	Myrtle Audio, Audubon's	Audubon's audio, Myrtle x Audubon hybrid	West Mexico media	Throat white and throat patch pointed at dorso-posterior edge; postocular stripe white or pale; white spots on two or three outer  rectrices; in adult male, black on breast a solid patch or a heavy  mottling; in non-breeding, dorsum brown. Body size increases and black  on the breast decreases from east to northwest across the subspecies’  range. Audubon's throat yellow.			
YTWA	Yellow-throated Warbler	Setophaga dominica	None, but eBird has three options. What?	Two: Yellow-throated Warbler (albilora) and Yellow-throated Warbler (dominica/stoddardi)		3	0	0	0	0	Species	Ssp.	Ssp.			2 seen in Wash. Co, including one in Chip's yard		https://birdsoftheworld.org/bow/species/yetwar/cur/introduction
PRAW	Prairie Warbler	Setophaga discolor	S.d.d.	None		2	1	2	100+	237p,41a	VT species	Photo						https://birdsoftheworld.org/bow/species/prawar/cur/systematics
BTNW	Black-throated Green Warbler	Setophaga virens	Monotypic	None														
CAWA	Canada Warbler	Cardellina canadensis	Monotypic	None								Audio						
WIWA	Wilson's Warbler	Cardellina pusilla	C.p.p.	Wilson's Warbler (pusilla)	C.p.p.	3	1	0	1	0	VT species	Media, Species audio	Media		Yellow areas of plumage—including flanks, auriculars, and lores—typically washed with olive green, so that yellow eyering is conspicuous (Curson et al. 1994, Dunn and Garrett 1997); black crown patch limited in extent; body size small (wing chord < 58 mm).			https://birdsoftheworld.org/bow/species/wlswar/cur/systematics
																		
	Cardinals, Grosbeaks and Allies																	
SCTA	Scarlet Tanager	Piranga olivacea	Monotypic	None														
NOCA	Northern Cardinal	Cardinalis cardinalis	Cardinalis cardinalis cardinalis	Northern Cardinal (Common)	Cardinalis cardinalis [cardinalis Group]	18	1		5	0	Sighting, photo, audio.		Photo, audio		Male: Red crest duller than breast. Female: Black face mask, not gray or whitish.	There are three main groupings for Cardinal subspecies; realistically, you can only identify to one of a grouping. Not possible to identify to subspecies within grouping in the field.	https://ebird.org/species/norcar	https://birdsoftheworld.org/bow/species/norcar/cur/systematics
RBGR	Rose-breasted Grosbeak	Pheucticus ludovicianus	Monotypic	None														
INBU	Indigo Bunting	Passerina cyanea	Monotypic	None														
PABU	Painted Bunting	Passerina ciris	P.c. pallidior, P.c. ciris	None											Not safely distinguished in field, often not in hand			
DICK	Dickcissel	Spiza americana	Monotypic	None														
